electra-0,electra-1,electra-2,xlnet-0,xlnet-1,xlnet-2,bert-0,bert-1,bert-2,target
-2.74911,3.191448,-0.08581,-2.43408,2.748974,-0.82496,-0.94642,2.627973,-1.99451,2
-2.42403,4.280213,-1.46383,-1.99941,0.37442,2.195026,-1.71496,-0.96156,3.678482,1
-0.16402,2.985576,-2.78918,1.770452,0.955954,-3.47756,1.963731,1.289787,-3.34262,1
-1.35748,3.707355,-2.08342,-1.62286,2.854477,-2.04442,-2.28823,3.320233,-1.02717,1
-3.37883,-1.54668,5.247501,-2.55452,-2.20814,6.072881,-3.07129,-1.64029,5.740265,2
-4.86315,2.404687,3.105945,-4.39965,1.658945,3.097061,-2.97104,-0.25794,4.215819,2
-3.11904,0.222949,3.211064,-2.06482,-0.85985,3.875293,-2.59548,-0.2226,3.643163,2
-1.99619,-1.44118,3.586795,-1.17883,-1.07792,3.191653,2.895814,-1.82334,-1.06781,2
-1.8484,1.32437,0.718528,-0.69109,0.160032,0.75469,-2.23389,0.857447,1.79821,1
2.852148,-0.63443,-2.90841,2.871252,-0.36183,-2.9222,-0.25464,2.116618,-1.87699,0
1.861427,2.107451,-4.47867,0.217127,1.992439,-3.09975,2.015017,1.17312,-3.09836,0
-3.14404,0.315524,3.271727,-1.86168,-0.60357,3.343637,-2.14402,0.423767,2.355214,1
-3.75379,-0.87319,5.037072,-3.28466,-0.51231,4.971524,-3.03954,-0.71116,4.77604,2
4.001642,-1.3046,-3.59895,2.664435,0.028239,-3.11914,3.702853,-1.78202,-2.06713,0
-2.15257,5.076011,-2.65766,-3.43138,4.802555,-2.17603,-2.54207,3.896106,-1.2616,1
-2.61909,5.04281,-2.03471,-3.21367,4.05534,-1.44279,-2.94093,3.309484,-0.04002,1
1.003305,0.755803,-2.12283,2.655583,0.030664,-2.92855,1.881316,-1.44039,-0.26889,0
2.715342,0.361487,-3.76257,-0.33356,2.523843,-2.88227,-0.00899,1.78017,-1.8431,0
-2.52897,4.931875,-2.0022,-3.25182,4.338617,-1.73374,-2.43711,4.084806,-1.50992,1
3.920675,-1.00702,-3.9141,3.891129,-0.84812,-3.19815,3.544602,-1.62573,-2.09332,0
3.677549,-0.19859,-4.42678,3.31854,-0.17588,-3.45488,3.844572,-0.66493,-3.40808,0
-3.98903,-0.2224,4.600617,-4.01613,0.851369,3.709875,-3.00012,1.220326,2.465602,2
4.114701,-1.231,-3.91203,4.240831,-0.71896,-3.55266,3.572205,-0.39322,-3.40466,0
1.603781,0.994652,-2.94479,1.118243,-0.5268,-0.48316,0.516504,-1.718,1.320834,0
-3.08828,-1.1923,4.535447,-2.15158,-0.66708,3.638478,-2.54164,-0.54208,3.828287,2
-3.36574,-2.2378,5.894265,-2.31165,-2.60319,6.11373,-2.96613,-1.61312,5.620898,2
-3.0835,-2.18887,5.510928,-2.46699,-2.20011,5.995029,-2.90985,-1.79094,5.830721,2
-1.85288,4.298059,-2.12304,-2.41544,4.507503,-3.23983,-1.90796,4.331817,-2.89597,1
-2.86486,4.341349,-1.01082,-3.43697,3.017009,0.026482,-0.63237,1.653652,-1.21165,1
-1.37076,4.810302,-3.29913,-1.42035,4.237875,-3.77617,-1.9252,4.192546,-2.51739,1
4.076756,-1.36591,-3.69755,3.940939,-1.57146,-1.80937,2.830206,-0.84723,-1.99935,0
-1.27275,4.523505,-2.98895,-1.79726,3.799663,-2.74119,-1.35232,3.784889,-2.72164,1
3.582753,-0.36182,-4.15407,3.272185,-0.47224,-3.01012,3.388571,-0.49013,-3.14737,0
3.978451,-1.0129,-3.904,4.158479,-0.58105,-3.94478,3.710431,-1.19196,-2.69528,0
3.96239,-0.93988,-4.01306,4.614076,-0.7457,-4.0506,4.019796,-1.01518,-3.11578,0
-1.03202,4.690616,-3.63448,-2.40122,4.413132,-2.72694,-1.9155,4.366967,-2.60068,1
-0.72981,4.52408,-3.69831,-2.05334,2.342719,-0.63557,-1.99064,1.45044,0.717094,1
-3.79122,1.738089,2.564404,-3.51101,0.909372,2.90004,-2.09506,0.328587,2.298773,1
3.450362,-0.67441,-3.64258,4.030368,-0.56184,-3.98453,3.544296,-0.5562,-3.16432,0
3.986064,-1.34464,-3.57149,4.18021,-0.99692,-2.96782,3.585739,-1.66386,-2.04116,0
-2.76081,-2.63421,5.556696,-2.07834,-2.82435,5.999097,-3.00624,-1.70056,5.652585,2
-3.88737,4.601568,-0.05129,-1.99374,2.965831,-1.65764,-3.54488,3.74926,0.218375,1
0.799871,2.867845,-3.94266,-0.37784,3.053168,-3.70692,1.027157,2.482861,-3.56778,1
3.04879,-0.12264,-3.63757,2.790347,-0.02531,-2.88947,3.070903,-0.56536,-2.46048,1
3.707172,0.060348,-4.76598,2.73265,0.959312,-4.58809,1.976967,1.217567,-3.33311,0
-0.9995,4.364838,-3.21106,-2.28865,3.205529,-1.40037,-1.53242,2.583806,-1.1575,1
-2.59815,5.015311,-1.97322,-3.49032,4.774538,-1.96686,-2.78663,4.341607,-1.42709,1
-3.56193,-0.6128,4.611875,-3.14767,-1.14977,5.490991,-3.10464,-0.95037,5.155695,2
4.099803,-0.70488,-4.49074,4.724997,-0.90133,-3.83341,3.87907,-1.13103,-2.86968,0
-4.34656,3.605033,1.374872,-3.30985,1.713598,1.612527,-3.06013,2.985027,0.28869,2
-3.44993,-2.10443,5.803959,-3.54945,-1.77944,6.286791,-3.42827,-1.19792,5.699456,2
-1.8973,5.068518,-2.84638,-1.89205,4.583058,-3.3741,-1.51617,3.572843,-2.34964,1
-3.93945,-0.75074,5.064436,-3.51135,0.024007,4.588118,-3.57472,-0.47064,4.946927,2
3.632396,-0.96491,-3.53235,3.421371,-0.85488,-2.73401,3.513809,-0.98552,-2.72096,0
-1.29575,3.766885,-2.25694,-2.14732,1.75049,0.484612,-1.94752,2.050156,-0.11598,1
-3.6949,-1.5636,5.556714,-3.21951,-0.76952,5.455123,-3.1984,-0.41962,4.611665,2
-3.43316,-2.02264,5.704966,-2.79954,-2.2058,6.259968,-3.3336,-1.03349,5.426756,2
-4.27278,2.883601,2.01559,-2.90869,1.16033,2.261482,-1.68359,0.433166,1.694308,2
-2.02545,5.057588,-2.74386,-3.42802,4.793974,-2.0265,-2.54843,4.307354,-1.71946,1
-2.37538,4.952949,-2.15937,-3.10388,4.547453,-1.99928,-2.05747,4.129166,-2.13246,1
-2.44761,5.112423,-2.21357,-3.44211,4.667203,-1.8277,-2.34966,4.204009,-1.80252,1
-3.14908,4.831972,-1.11556,-3.62452,3.992481,-0.94933,-2.25041,3.816033,-1.63879,1
-2.46759,3.12705,-0.26401,-3.84794,4.391295,-1.47378,-2.75034,4.639936,-1.73826,1
2.531749,-0.57699,-2.58811,2.277059,-0.47106,-1.89491,1.383907,0.917973,-2.11366,0
1.214774,1.988068,-3.49972,1.106639,1.610729,-3.48873,1.411861,1.99954,-3.39129,0
-2.17782,4.323077,-1.8167,-1.87399,2.735944,-1.3411,-0.00071,1.806822,-1.88596,2
4.118271,-1.18327,-3.99612,4.268668,-0.73111,-3.63462,3.630148,-1.55261,-2.25728,0
4.13726,-1.20409,-3.98556,3.359546,-1.37765,-1.56442,3.619677,-1.86175,-1.79422,0
-0.22135,1.201788,-0.93765,0.186864,-0.22149,-0.15843,-0.79232,1.597613,-0.82429,2
4.102436,-1.39748,-3.63755,4.529254,-1.1664,-3.49595,3.699886,-1.44832,-2.32419,0
-3.17756,-2.45126,5.86788,-2.53594,-2.49048,6.077462,-2.88554,-0.91697,4.970039,2
1.060437,3.298039,-4.66165,2.177458,0.712312,-3.35725,1.659694,1.530933,-3.11837,0
1.609315,1.311857,-3.31203,3.041065,0.227846,-3.85816,3.234517,-0.94605,-2.52241,0
4.053639,-1.29387,-3.7169,4.292558,-0.9148,-3.49895,3.814709,-1.60738,-2.29374,0
1.062964,2.093253,-3.3935,-0.14891,2.191251,-2.926,-1.30376,1.700384,-0.32033,1
-2.58055,0.265214,2.569427,-1.83965,-0.73589,3.533559,-2.03278,3.336706,-1.35286,2
-2.66829,-1.17171,4.123142,-2.73844,0.951582,2.072686,-2.66036,0.283391,3.123722,1
0.426651,1.144275,-1.71931,1.497299,0.406147,-2.35644,1.158681,0.617869,-1.68155,0
-1.63646,1.292564,0.617847,-3.16973,1.597869,1.612693,-3.28065,3.742357,-0.27296,1
3.807928,-0.12184,-4.73868,3.690659,0.12344,-4.22432,2.547869,0.221334,-2.69001,0
3.754611,-1.3223,-3.28424,3.85371,-0.65504,-3.38504,2.892041,0.139858,-3.16576,0
-4.75295,0.563659,4.685817,-4.04631,-0.95212,6.014068,-3.58189,-0.61288,5.158185,1
-4.21597,-0.08562,4.757962,-3.37829,1.853447,1.886733,-2.99059,1.439603,2.052009,2
3.793965,-0.52687,-4.25428,3.794268,0.148852,-4.48937,3.333648,0.29952,-3.71133,0
-2.93431,-2.35639,5.501588,-1.69534,-2.35445,5.273679,-1.57604,-1.32645,3.786944,2
-1.65562,4.248982,-2.2721,-1.93637,3.515624,-2.37713,1.029863,1.544916,-2.39797,1
-2.52436,-1.61214,4.275277,-3.10799,-1.75996,6.146828,-2.68978,-1.06183,4.843956,2
3.215591,-0.03753,-4.07159,3.771076,-1.36305,-2.23678,3.143238,-1.56024,-1.69524,0
4.075672,-0.90574,-4.17305,4.391513,-0.49685,-4.13385,3.843082,-1.00162,-2.97091,0
0.911419,2.694465,-3.86946,1.100648,1.216442,-3.03724,2.174206,0.968009,-3.22036,1
-3.86226,-1.45076,5.660971,-4.25961,0.804757,4.182007,-3.37153,0.467469,3.743776,1
3.569437,-0.1382,-4.35928,4.095784,-0.23782,-3.80719,3.63301,-0.57409,-3.10448,0
-2.72969,5.00553,-1.87224,-2.07718,4.536354,-3.43156,-2.03792,4.065851,-2.23079,1
-1.14447,3.868346,-2.41073,-0.47405,3.475371,-3.77664,-1.65154,3.751968,-2.38357,1
2.887435,0.08732,-3.73337,2.620756,0.817276,-3.94158,2.624548,0.397703,-2.89168,1
4.144602,-1.22183,-3.91758,0.899984,1.859252,-3.35795,3.802698,-1.07272,-2.86099,0
1.811666,0.079459,-2.32915,0.241895,-1.2416,1.842815,1.345355,-0.34096,-0.78733,1
-2.09844,5.054355,-2.62347,-2.70577,3.918953,-1.92923,-1.46236,3.089658,-1.91724,1
-2.85839,-1.47671,4.557431,-2.18464,-0.6087,3.870408,-1.91353,0.227517,2.243687,2
-2.69574,5.215427,-2.10838,-3.22364,4.581001,-2.26208,-2.08274,4.712692,-2.7971,1
3.810868,-0.87442,-3.90323,4.200122,-1.46534,-2.72351,2.141277,-1.81173,-0.26228,0
0.05941,3.644274,-3.75737,-0.21771,3.247422,-4.42696,-0.92313,4.145307,-3.79842,1
-1.02714,4.292903,-3.10608,-0.15489,2.737567,-3.42232,0.296655,3.097777,-3.58946,0
4.095735,-0.99088,-4.17407,4.549557,-0.64067,-4.23092,3.698755,-0.97887,-2.85954,0
-1.68216,4.090043,-2.05073,-1.93166,2.9903,-1.71862,-1.46058,3.41257,-2.13145,1
-1.20258,4.620522,-3.24656,-1.18906,3.942,-3.86964,-1.48513,4.097724,-2.96095,0
3.694122,-0.63289,-4.00638,4.469716,-0.55403,-4.2689,3.890879,-0.49896,-3.58688,0
-2.14922,4.152185,-1.57473,-2.18924,3.19315,-1.82417,-1.82701,2.969623,-1.18835,1
-3.22692,-1.88622,5.385999,-2.73232,-1.39035,5.444835,-3.15189,-1.4433,5.579978,2
-2.38516,1.014863,1.701057,-2.33415,-0.36551,3.524782,-2.61219,-0.36108,3.676186,2
-2.89101,-1.83043,4.919205,-2.10586,0.655084,1.645594,0.298265,0.006362,-0.32803,2
3.255533,0.546171,-4.6747,1.472145,1.387727,-3.44154,-1.68426,0.055766,2.100339,2
4.132314,-1.31687,-3.79949,4.079944,-0.99621,-3.20741,3.687039,-1.29245,-2.56832,0
-2.4107,4.962667,-2.16494,-2.68647,5.033715,-3.31383,-2.49136,4.653399,-2.19046,1
2.621987,-1.02262,-2.22064,4.130651,-0.65933,-3.45596,3.768354,-1.03718,-2.90691,0
-2.9531,-0.14744,3.426927,-2.28399,-0.68883,3.920841,-2.79055,-1.60617,5.460682,2
4.174532,-1.19005,-4.06132,4.155107,-0.47233,-3.96088,3.178359,-0.43473,-2.95486,0
-2.63795,4.124893,-1.01097,-3.46778,3.997682,-1.10592,-2.22698,3.660914,-1.4362,1
3.783237,-0.90361,-3.88518,3.340295,-1.40644,-1.74449,3.008153,-0.2934,-2.71955,0
-2.72919,5.115781,-1.97408,-3.61433,4.148908,-1.39685,-2.9765,4.070399,-1.026,1
-3.51036,-0.65532,4.535246,-3.39944,0.974987,3.072288,-2.6653,1.140469,2.170818,2
0.542792,2.920545,-3.5901,-1.52559,3.015082,-1.96914,-0.06958,3.271875,-3.23512,1
-3.32119,-2.23589,5.814704,-2.55258,-2.508,6.083441,-3.01978,-1.71409,5.765695,2
4.018469,-1.08876,-3.8923,2.31524,-1.66624,-0.0892,2.520535,-0.96443,-1.43749,0
3.957217,-0.90371,-4.0237,4.503536,-0.61929,-3.95065,3.72554,-0.72064,-3.07841,0
-3.2344,-2.2599,5.745834,-2.5577,-2.44196,6.126783,-3.03243,-1.43676,5.56907,2
3.055868,0.514266,-4.38297,3.766497,0.180168,-4.56923,3.028437,0.365301,-3.42706,0
3.724239,-1.25567,-3.34415,2.719847,-1.25497,-1.40401,2.629252,-1.68949,-0.98859,0
-4.44842,0.59857,4.341772,-4.57378,1.177128,4.338129,-3.77139,1.345131,2.980146,1
-3.00613,-0.35647,3.598813,-1.93599,0.686676,1.402112,-2.13672,2.929294,-0.89797,2
-3.3305,4.711474,-0.96059,-3.53445,4.930062,-2.20694,-2.97527,4.715393,-1.65491,1
-1.73613,-1.89962,3.663543,-1.98245,-1.31114,4.51143,-1.17219,-1.55678,3.494281,2
3.94801,-0.27071,-4.71737,4.647832,-0.5584,-4.42498,3.357073,-0.10529,-3.47978,0
-1.45882,3.670322,-2.04658,-1.28188,3.293235,-2.71687,-1.56943,2.993263,-1.5531,1
4.10469,-1.22969,-3.8681,4.666242,-0.91125,-3.95584,4.093579,-1.68923,-2.5229,0
-2.09808,-1.55774,3.808776,-0.82628,-1.78916,3.704603,-2.15698,-1.67553,4.853386,2
3.836815,-0.91986,-3.91526,3.43806,-1.14743,-1.89322,2.574842,0.496314,-3.14869,0
1.312805,1.561423,-3.22251,1.974522,0.539513,-3.19693,1.35516,1.293988,-2.55005,0
-3.22704,-1.85635,5.292419,-2.94218,-1.35544,5.679421,-2.77744,-1.24211,5.095525,2
4.032572,-0.93701,-4.11778,4.510222,-0.37044,-4.36783,3.996134,-0.90553,-3.25669,0
3.486844,-0.02675,-4.39832,1.509158,0.540402,-2.17057,-1.19359,3.171345,-2.39407,0
-3.67338,-0.96223,5.031509,-3.69933,-0.7699,5.62831,-3.7796,-0.23921,4.861503,2
-3.47856,4.698059,-0.65499,-4.19805,3.112351,0.7589,-4.09614,1.580354,2.944905,1
1.37561,2.953371,-4.77708,1.129211,1.717259,-3.77994,2.925376,0.364253,-3.62534,0
2.853049,-0.70463,-2.81488,3.965772,-1.54902,-2.01614,2.309609,-0.73975,-1.41682,0
-2.78404,-2.02668,5.044357,-2.17119,-0.70267,3.829937,-0.98739,1.442476,-0.37057,2
-3.48526,-1.12888,4.936361,-2.84281,-0.80167,4.717826,-2.89873,-1.64751,5.564705,2
3.712087,-0.16737,-4.54213,3.624017,-0.94616,-2.35144,-1.72392,3.702658,-2.36843,0
-2.41348,4.328936,-1.53133,-3.02655,2.75283,0.109327,-2.00481,4.290373,-2.54931,1
-2.517,4.726083,-1.78991,-3.576,3.034409,0.568685,-2.83691,-0.30416,4.087519,2
-2.96205,-2.11072,5.230001,-1.71999,-2.48311,5.584495,-2.67095,-1.61077,5.351768,2
3.642626,-0.24257,-4.3329,3.322294,-0.89265,-2.48682,0.416272,-1.15693,0.803181,0
4.10457,-1.46455,-3.59535,4.527071,-1.34097,-3.26407,3.879326,-1.29156,-2.78152,0
-2.59705,5.206948,-2.22556,-2.91151,5.07651,-3.02934,-2.25545,4.865797,-2.5556,1
-3.28859,-1.60189,5.123919,-2.71225,-2.37257,6.279542,-2.99921,-1.62758,5.745809,2
-3.22736,-2.15611,5.630041,-2.95883,-1.41643,5.755429,-2.51278,-0.55742,3.961004,1
-3.47641,-0.88904,4.716857,-3.5307,-0.84318,5.632468,-2.92918,-0.85142,4.833276,2
-1.24777,-1.49251,2.783277,0.745102,-1.42878,1.68344,-0.97484,1.230901,-0.31599,0
-2.55688,4.234197,-1.18523,-1.5449,2.951864,-2.33502,-2.90431,1.012122,2.350782,1
4.154043,-0.93578,-4.301,4.645508,-0.55934,-4.34611,3.964968,-0.49996,-3.74252,0
-2.5191,-2.08288,4.766068,-2.25643,-0.64709,3.820937,-2.64966,-0.43806,4.112696,2
-1.42683,0.063662,1.529616,-2.11175,-0.47898,3.553731,-3.05379,-0.01913,3.865606,2
-2.35988,4.800689,-2.06607,-3.13689,3.87821,-1.48829,-2.45581,3.454656,-0.90874,1
-3.42011,-2.16116,5.836849,-2.69653,-1.86825,6.181951,-3.21677,-1.34332,5.648645,2
-3.3142,3.212441,0.591283,-2.34145,1.246337,1.075475,-2.08128,0.510202,2.041817,1
-2.29071,5.202958,-2.56128,-2.76962,4.834387,-3.15339,-2.41952,4.491026,-2.05916,1
-1.76776,2.289583,-0.21732,-0.70878,1.463102,-0.98307,-2.49501,1.361955,1.689276,2
-3.13241,-0.81325,4.206806,-2.73794,0.405346,2.819241,-1.83289,0.553053,1.848691,2
-1.55709,4.150633,-2.33126,-1.58885,2.949078,-1.83339,-2.33855,4.143939,-1.79127,0
-2.65217,4.716794,-1.66085,-3.70523,3.75393,-0.7126,-3.62764,2.990976,1.104695,1
-4.21794,2.387609,2.437526,-3.66323,1.090537,3.193081,-3.51914,1.009283,3.101366,2
-2.55263,-1.72421,4.427135,-2.60941,-1.22766,5.254244,-2.91472,-0.52348,4.449005,2
3.046344,0.079758,-3.91044,0.684995,-1.59805,1.444425,3.282452,-0.59781,-2.87479,0
-3.23051,-2.32922,5.804149,-2.65776,-2.32066,6.226601,-3.07535,-1.27138,5.412484,2
-2.04092,4.750753,-2.36574,-2.36788,4.545677,-3.19232,-1.56543,4.287502,-3.09749,1
3.23105,-0.36451,-3.71258,4.252269,-0.66513,-3.74544,3.604255,-1.28904,-2.48545,0
-2.95159,0.323462,2.938773,2.16593,-0.46445,-1.69919,2.577439,-0.69105,-1.98124,0
3.363729,0.506915,-4.74388,3.143266,0.667997,-4.40329,3.796628,-0.90902,-2.97625,1
4.162696,-1.36472,-3.81863,4.799351,-1.26964,-3.57217,3.863178,-1.59117,-2.40794,0
-1.38546,4.448859,-2.80529,-1.27531,3.741421,-3.41682,-0.49177,3.879962,-3.96534,1
