electra,xlnet,bert,target
0.37398538,0.4891587,0.60931563,1.333
2.9070723,2.5276928,3.0427513,2.6
0.48225236,0.47770932,0.4624737,0.6
0.3312664,0.5945187,0.47808966,0
-0.106333114,0.094742574,0.08148771,0
3.0871692,2.7852437,2.0024352,3
-0.058745664,0.020702524,0.077848874,0
0.19645557,0.3983089,0.45262885,0.2
3.2581909,3.2673638,3.265617,3.2
2.3618286,2.8711946,2.7036867,2
0.018311437,0.118215255,0.28235298,0
3.4451082,3.8273628,3.124703,3
3.8712537,3.9117048,4.3776507,3.091
3.3797066,3.7801766,3.432158,2.75
0.6823353,0.7006331,0.8521608,1.2
0.7489076,0.43256998,0.29219562,0.5
0.9628207,1.6308396,1.0000397,0.25
-0.06843133,0.07393149,0.07436912,0
-0.11471855,-0.00888961,0.28946462,0
0.4635571,0.6183958,0.3401301,0.5
-0.108421795,0.13881773,0.21051686,0
0.057506423,0.61731684,0.1799575,0.6
3.0254147,3.3089955,2.2513146,4
1.9183028,2.236492,2.8439236,3.4
-0.11282801,-0.010484768,0.12346483,0
-0.1154551,0.034774713,0.1747974,0
1.9014299,2.2228506,2.6982832,1
-0.048654288,0.035383523,-0.019047137,0
2.1482692,2.6079085,2.4555979,2.4
0.53221613,0.70546645,0.37838143,0.4
0.83441293,1.1102843,1.6663485,1.8
3.4410882,3.5596793,1.8524728,2.5
-0.044069834,0.1894983,0.11254331,0.083
-0.059398603,-0.06242217,0.06434768,0
1.8441691,2.4735594,2.5796642,1
2.0842147,2.892182,3.5166368,4.5
-0.09378746,0.052295163,0.057302862,0
4.1035237,3.396575,4.263265,3.6
4.743545,5.239041,4.9383307,5
5.1791067,5.2893996,4.8341317,5
5.2287707,5.2706804,4.9316807,5
5.2287707,5.2706804,4.9316807,5
3.9589722,4.317099,3.958991,3.8
5.0940104,4.970786,4.4188824,5
2.0773718,1.7646325,1.4939712,2.5
3.8151023,3.1682134,3.9645748,3.824
1.1463873,1.040902,1.0075336,1.6
5.187053,5.251315,4.4253626,5
5.2239966,5.182162,4.92414,5
2.06298,1.7705123,1.9872183,2.375
5.217218,5.1696277,4.8464494,5
0.91810095,0.9676679,0.5684436,1.25
0.39369494,0.7704347,0.484571,1.25
3.1689577,2.7016237,3.9858708,3
1.7945645,1.8430679,1.6467943,2.167
1.1638993,0.9601173,1.1455268,1.4
3.7568893,2.9951224,4.1246724,4
2.8588006,2.1948462,3.1332693,3.6
5.1111407,5.1118946,4.7825284,4.857
0.7002744,0.87068987,1.0986298,0.4
0.3308597,0.5956443,0.4050665,0.2
1.9934504,2.1402423,2.6061816,1.3
0.47135112,0.8176524,0.43460238,1.2
0.4975981,0.8647571,0.4484833,1.2
3.363611,3.7230055,4.415454,4.4
1.6020366,1.9642899,1.6635736,1.8
1.2810613,1.299263,1.4927012,1.4
1.0889482,0.7440807,0.7308861,0.4
5.213746,5.2617126,4.7220035,4.4
3.59035,3.505357,3.4766068,3.25
0.5439512,0.61139905,1.4964894,0.778
2.3807244,2.2806575,2.2136579,2.25
3.5099146,4.2507586,3.4364648,2.75
2.9658325,2.636585,2.8473897,2
0.50379336,0.73971343,0.24265455,0.833
3.7888706,3.4728508,3.7260997,3.75
2.7143734,2.2298195,2.344828,1.8
4.6708026,4.874936,4.2982173,4.333
4.641738,4.508814,4.2451367,4.214
-0.03196917,0.15139812,0.18954393,0
3.619127,2.8789022,4.197323,3.4
4.6369696,4.28636,4.352726,4.2
0.9953042,0.75868464,0.84938884,0.8
3.5634887,3.8365266,3.6469464,4.2
2.1102273,2.786894,2.0570674,2.75
1.5991594,1.7239531,1.9849914,2.2
0.6385127,0.6162692,0.97029495,1.2
1.0189075,0.9468407,1.3267288,1
1.5942519,1.2419951,1.2943852,1.533
0.68679947,0.91625077,0.7026444,0.2
3.4676793,3.6205828,3.8387182,3
4.4043484,3.9969902,4.0698776,3.8
0.6311645,0.713355,0.5108587,0.75
3.982895,3.8903556,4.0223866,3
0.42608988,0.48860073,0.5378543,0.4
3.1975605,4.0954914,3.3396888,3.4
4.261666,4.670205,4.389919,3.8
1.5816454,1.6940175,1.7688001,1.4
3.7389042,3.737634,2.608732,3.4
4.1082177,3.618981,3.1563647,3.2
3.3188431,3.1064827,2.9388385,2.333
0.37744915,0.54292566,0.40387493,0.8
0.08158302,0.22418934,0.3138706,0
4.3398743,3.7859218,3.317066,3
4.560082,4.445883,4.596087,3.75
-0.05390041,0.024231067,-0.017566264,0
-0.021669518,0.12290291,0.15847419,0
-0.02816964,0.35579157,0.17453378,0
0.11669831,0.20384592,0.11355846,0.5
1.0069413,1.1620619,0.9449705,0.5
0.9454846,0.6258317,0.2636914,0.4
0.6537972,0.4380978,0.6990713,0.75
1.5214558,0.68814194,0.034089245,2.5
1.9035543,1.9111326,2.6240463,1.8
3.7928798,3.7423213,3.1721587,2.5
0.8123735,0.72137696,0.58852375,0.5
0.5319637,0.53808576,0.43786576,0.4
0.8411804,0.91019136,1.5002921,1.2
2.292427,1.9954834,1.9073962,2.75
0.6002129,0.5260505,0.6058452,0.4
0.48439,0.67244154,1.2939941,0.6
0.5690009,0.6779384,0.3788605,0.8
2.895006,2.0880582,1.7943379,3
0.26298252,0.45624763,0.27299044,0.4
2.7904303,3.082242,2.5413134,3.2
1.0259006,0.99211836,0.964857,1.25
4.462192,4.589404,4.5172114,5
0.18177776,0.52030754,0.48721004,0.2
3.6537383,3.145569,2.2907972,3
1.5353028,1.7580415,1.4198315,1.4
4.0313964,3.8649783,3.1398518,3.8
2.6501014,2.6415625,3.4922736,2.75
0.031523693,0.1834126,0.34582514,0
3.3893545,2.9031415,3.695469,2.8
0.025049265,0.072395355,0.20367214,0
0.010091454,0.24097994,0.31815982,0
2.9332893,2.7138646,2.6699407,2.6
0.14398076,0.1410823,0.08346316,0.1
0.39544815,0.20057386,0.37489268,0
3.012281,2.2751448,2.1619825,2
3.631642,3.210459,3.172422,3.75
3.229229,3.406171,3.0511167,3.1
3.3533764,3.219919,1.9049498,2.692
3.910288,4.3415666,3.4527957,4.429
5.0112886,4.7538934,4.7971687,5
0.080677114,0.26481578,0.32186568,0
0.4813889,0.33591026,0.618581,0.8
1.7409587,2.0174446,1.8725338,1.333
-0.08233249,0.04555206,0.14900899,0
0.5793143,0.71587914,0.8892478,0.6
0.06403803,0.27501884,0.2951692,0
-0.020821229,0.09741289,0.11829657,0
-0.033521622,0.15943621,0.111753024,0
2.591539,3.2468665,3.560257,3.4
2.846478,3.4423335,2.666832,2.2
0.054368712,-0.00013887323,0.10697106,0
3.6361792,3.8565712,3.179803,3.6
-0.018422738,0.072242744,0.20467417,0
1.533669,1.1975472,1.0615267,1.4
1.8832381,2.025674,1.8607444,2.2
3.903495,3.884343,3.8686643,3.8
2.632234,2.7652295,2.8004203,2.6
0.31358036,0.09114496,0.418864,0.4
3.6030767,3.535629,3.0364265,4
3.9672747,3.3394198,3.2953808,2.25
3.6431868,3.2626662,2.459807,3.2
0.17653276,-0.053321294,-0.13716304,0
0.21424448,-0.027892156,0.12738185,0.4
4.434495,4.4652414,3.885925,3.8
1.5524247,1.2008674,1.7116593,0.8
3.8993013,4.08303,3.9247305,4.2
2.8415587,3.5165899,3.816169,3.6
2.0150754,2.4598205,2.5271678,2
4.595547,4.3010173,3.006904,4.2
3.0309649,2.4479597,2.7343125,3.4
4.3041267,4.1463013,3.8698325,3
3.6932154,3.188818,3.4768138,3.4
2.8490908,2.4835827,1.7333682,3.6
3.3818166,3.8334842,3.6556137,3
2.5267034,2.7207634,3.2858984,2.4
2.4084241,2.4541695,1.8605771,2
3.4885232,3.31466,3.1377463,4
-0.04647763,0.069617145,0.27124077,0
4.385781,4.1991224,3.719027,4
4.2557425,3.4859936,4.082729,4.2
0.813507,0.77566665,0.8406224,0.8
2.570645,3.8103378,3.1722155,2.2
4.1627655,4.2563453,4.3691907,3.8
3.5354707,3.9847987,3.8217208,3.2
4.374716,4.38535,4.917198,4.4
-0.019047614,0.025762947,0.15651323,0
1.7368016,2.5280178,4.008384,1.4
1.9571984,1.5918715,1.0241013,2.6
0.029202353,0.3082673,0.6411934,0.4
-0.07391057,-0.062148415,0.035604447,0
3.074765,3.982394,3.0918798,3.2
4.4188,4.6470184,4.3952003,4.6
-0.07071716,0.062195837,0.9566384,0
0.9929682,1.3640565,0.4297737,0.6
1.1886241,1.0987731,1.3839229,1.2
4.293493,4.4902506,4.3447084,3.8
3.844945,3.6149158,3.7529507,3.2
2.0466645,2.0799265,1.7552027,2.6
4.977656,4.6770344,4.7215104,5
-0.06288068,0.025876062,0.133893,0
2.5133655,3.3785386,3.1959958,3.2
3.8576636,3.9606054,3.4262857,4
0.44086835,0.5544069,0.43964893,1.2
4.0403543,3.8021185,4.2361846,4.4
3.690843,3.969261,4.2424865,3.4
4.5600743,3.663056,4.016625,4.4
1.022783,1.0279539,1.2521224,0.8
4.503402,4.4964795,3.7838721,4.6
5.1279044,5.2338567,4.0517526,4.2
0.048286527,0.10853406,-0.024357982,0
3.6898687,3.6625757,3.148861,3.2
0.28879908,0.52597797,0.6149227,0
3.304115,2.4601212,3.2117734,1.4
2.5870574,1.9649049,1.4227898,3.2
3.0754693,2.1687393,2.858968,1.8
1.9293823,1.874546,1.1160727,1.8
-0.023797361,0.0075897835,-0.0768187,0
3.8487186,4.031974,3.688002,3.8
3.8921824,3.8901465,3.0486856,3.8
3.7292016,4.133339,3.7894735,4
0.011357488,0.14621587,0.18893157,0
3.318386,3.3391063,3.4370737,3.2
3.6457634,3.2596974,2.5373445,1.6
3.433398,3.858465,1.0843505,3.6
0.7004115,0.7459781,1.1431438,1
4.202763,4.098295,3.6751313,3.6
1.6387508,2.679098,2.7322206,2
4.011075,4.225242,3.9313576,3.6
4.157124,4.0462213,3.8549123,4
3.5212646,3.5660112,2.8312502,3.6
3.7053134,3.5036032,2.710435,3.2
2.1652403,3.1164443,3.070475,2.8
2.9512026,2.9049778,2.8456259,2.4
3.9926176,3.3773115,3.9211664,3.6
0.7020653,0.7390494,0.644925,1.8
0.31065527,0.44552112,0.3619028,0.2
4.1332493,4.049431,3.4178114,3.4
0.058451835,0.49375466,0.13212061,1.2
1.5652978,2.345713,1.1373323,1.4
3.8406656,3.7497334,3.644987,2.6
2.867695,3.1332247,3.2136889,2.4
0.17263308,0.24934313,0.40324438,0
4.699088,4.326753,3.84793,4
3.4034638,2.656029,2.292184,3
3.7383125,3.7891705,3.8448944,4
3.5630531,3.7315087,3.525953,4
2.1538172,2.0609846,2.092205,2
3.3257825,3.1316898,2.4570756,4
2.2392886,1.9761821,2.9378784,2.2
2.5950015,2.1584265,2.285803,2.2
3.3582017,3.1165364,3.2171042,3.4
3.9813652,3.6565502,3.4334033,3.2
2.807678,4.77761,4.5424085,4
3.427797,3.4818857,3.442272,3.2
3.54121,3.893644,3.7402854,3.8
3.7100632,3.6083262,4.083288,3
4.879797,4.7673316,4.467934,4
2.6728642,2.5830674,3.3502226,2.2
3.3591833,3.970298,3.7533073,3.4
4.808877,4.83564,4.6464143,3.8
0.3387796,0.5240783,0.3656327,0
-0.006753243,-0.11631153,0.41111362,0
5.1696105,5.2246633,4.0786324,4.8
3.3473341,2.7801397,3.342912,3
0.22408171,0.37338218,0.34124786,0.8
4.365908,4.5669107,3.627123,4.2
4.909301,4.872318,4.4376726,4.2
0.044212297,0.25198436,0.0135841,0
5.0808105,5.1285934,4.891146,4.2
5.004998,4.8265243,4.665813,4.6
5.209851,5.3301873,5.001351,5
0.27638498,0.53169113,0.27733657,0
1.6409638,1.2266421,1.183335,3.2
2.6047077,3.1047013,2.8290472,2.6
2.5990431,2.418874,2.4576378,2.2
5.206088,5.297872,5.015288,4.6
5.1895576,4.932752,4.897301,5
5.073666,4.561388,4.2067995,4.6
4.449218,4.675293,4.0581384,4.6
4.87213,4.6477876,4.7195177,4.8
0.009388298,0.20685063,0.14880502,0.6
0.100859374,0.2761988,0.29777402,0.2
2.2018068,2.3276827,2.142286,2.2
4.1437836,4.580284,3.8847897,4.8
0.36198285,0.60819894,0.34873182,1.2
1.8424401,2.1273456,2.073162,2.2
5.1360817,5.195619,4.574781,4.6
2.9528134,2.7133634,2.7238398,2.6
4.5089536,4.3754277,4.054444,3.6
1.6868861,1.673784,1.902517,0.8
3.1626074,3.1408174,4.107096,2.4
5.1725116,5.268777,4.9855266,4.8
5.212324,5.146415,4.8987584,5
0.15579085,0.4910557,0.39993066,0.4
3.3340335,2.92873,3.189217,3.2
3.3758254,3.5113127,3.3435652,1.8
3.9582067,3.605176,3.2436702,3.2
3.396598,3.8738701,4.100572,3.4
5.2022305,5.273687,4.921104,4.8
4.113567,4.5494485,4.456732,4.2
2.897904,2.8689225,3.2943544,2.6
2.1352785,2.3685207,2.9600835,2.2
1.5855631,1.0355887,1.2924308,1.4
2.6762204,3.288917,3.1432953,2.6
2.6376207,3.6105173,2.5890071,1.2
1.4697781,1.0218439,0.91141474,1.8
4.8290763,3.9446323,3.520531,4
0.12449317,0.20083845,0.33571422,0.4
0.11064918,0.25871584,0.19619831,0
0.12886877,0.35524,0.41478628,0.4
4.6792912,3.917022,3.523058,3
3.5253365,3.9006824,3.8688025,4
0.60995394,0.8154252,1.2054685,1.4
0.39854765,0.23690374,0.7883808,0.4
2.360782,2.233189,2.1894023,2.4
2.195726,2.905483,1.8426514,2.8
5.053715,4.831332,4.2918315,4.6
3.7815495,3.9724479,4.6991115,4.2
3.6547885,3.2284882,3.2003782,3.2
1.1279325,1.082602,2.0148702,1.2
2.2803695,2.2430923,2.2767594,1.8
2.9803615,2.9868968,2.6412747,2.6
1.470745,1.6026286,1.6764568,1.6
0.11940031,0.34853473,0.07802058,0
3.5033653,4.1582117,3.895131,3.8
4.292354,4.4114256,4.103039,4
5.0213537,5.2712293,4.8466606,4.8
2.276504,2.1803243,2.10393,2.4
5.2068987,4.9638267,4.4166236,5
0.326426,0.5144534,0.50296116,0
3.8350303,4.127441,3.484,3.6
1.620904,1.96508,1.8866471,2.4
5.004276,3.2830808,4.6438704,4.2
-0.084727205,-0.011824029,-0.0023812766,0.2
4.6849065,4.7136583,4.0668354,4.2
2.6617377,2.758595,4.335037,3.2
0.7430074,0.98991364,1.4034798,0.6
2.1919854,1.5984511,2.3030672,1.6
-0.01181837,0.05830112,-0.010024264,0
1.1719956,0.942449,0.9580312,1.4
5.1795845,5.268206,4.9088216,4.8
4.0321193,3.797895,3.825528,4
2.503395,2.7877936,2.6671658,3
1.0443735,0.8541397,1.2852544,0.2
0.6130069,0.7925509,0.36146304,1.6
4.2865787,3.720055,3.7262404,4.4
5.19154,5.2159095,4.757728,4.8
0.32889888,0.27193016,0.5274615,0.4
2.8420417,2.8541262,1.8041192,2.4
2.9988935,3.001781,3.617145,3
1.4515257,2.116773,2.75095,2
3.7400434,2.980789,3.7596114,4.6
0.85381675,1.6170151,1.3862166,1
5.166255,3.5792007,4.2041936,5
0.5079834,0.6560233,0.27188605,1.4
1.1933602,1.9554161,1.4341453,0
3.8558488,3.900826,3.2171133,3
0.25235316,0.87846804,0.35487223,0.6
0.06450457,0.07293105,0.12096643,0
3.0115302,3.9306853,3.8693829,2.6
1.1491699,1.1689205,1.2093368,1.2
5.1879597,5.0044684,4.912853,5
2.955816,3.3059871,3.362298,3.4
0.6517701,1.0399084,1.3639382,0.8
1.6944604,1.49964,1.2980653,0.8
0.91239136,0.69242424,0.8161947,1
0.4190603,0.38071913,0.30170634,0
0.74107265,0.97245735,1.1369659,0
1.3194038,0.99029726,2.5832748,2
2.290459,1.8474033,1.2135774,2.4
3.6448214,3.6966698,3.2153769,2.2
4.144399,3.8128421,4.2526255,3.8
2.9575634,3.0341184,3.1054118,2.2
4.432913,3.580948,4.083999,4.6
1.5848763,2.6770148,2.0290875,2.8
2.0238607,2.2531812,3.3200114,2
4.4402113,3.6542516,4.4030075,4.2
4.4240446,4.8090825,3.928942,4.5
0.60245943,0.4502486,0.56041706,0
1.2714258,1.2664913,1.3740307,1.8
4.227014,3.8067944,4.1902294,4.2
4.2624383,4.4670734,4.3034186,4.2
0.803247,0.8696549,1.3227898,1.4
3.9521449,3.5644066,3.4167705,3.6
0.06893135,0.43049774,-0.02900058,0.6
5.202329,5.274744,4.615313,5
1.0140029,2.8403237,3.4210603,0.8
-0.07418725,0.44401515,0.23586108,0
-0.040338885,0.16248025,0.14105807,0
1.9431423,1.9460537,2.0753305,1.8
1.3265586,1.1652625,1.2315369,0.8
3.0104363,2.8600867,3.4602242,2.8
-0.13112181,0.0031056926,0.11333931,0
1.4431701,1.2475939,1.3902565,0.8
0.9896876,1.2036295,1.1456181,1.8
1.6853223,1.7639029,2.183003,1.4
0.41338283,0.5169347,0.6492976,1.8
2.8903563,2.1157587,2.5833857,2.4
2.1530876,2.44884,2.6676934,1.6
4.4823203,3.9700682,4.073836,3.8
3.9470532,5.1195784,4.5082254,4.8
0.52994144,0.6860433,1.1134421,0.2
1.1822444,1.65005,2.692855,1
0.7782506,1.5981587,1.8781184,0.4
0.6129654,0.6967555,1.2533946,0.4
3.0645866,3.2607987,3.9595904,4
1.692685,1.3988067,2.5102544,3.4
3.4494798,3.667888,3.1416006,3
4.704274,4.420337,4.4952717,1.8
1.0609415,0.40834433,1.1758152,2.2
3.4962819,3.272133,3.6210673,3.6
0.83832866,0.41894764,0.32037067,0.4
0.04056636,0.27739495,-0.014054995,0.2
3.97416,4.086043,4.130543,3.8
2.816391,3.0068705,4.207529,4.2
1.3818464,1.0752134,1.2264676,1.2
2.8114488,4.5610843,4.122447,3.4
0.8821553,0.5943771,0.56830156,2.4
2.0414066,2.9917285,4.2410855,3.2
2.4470322,3.7858791,4.7818336,2.2
3.9381118,4.062049,3.696496,4.4
2.8083599,2.5508137,3.1148345,2.6
0.42636427,1.4420168,2.1992066,0.2
1.6297019,2.2182517,2.7558753,3.2
2.1712487,1.2060467,1.4200294,2.2
4.344523,3.9995837,4.5812564,5
5.212155,5.2404714,4.8655753,5
1.3809295,2.4498494,2.062477,2.2
0.11722672,0.3665199,0.52773154,0.4
0.6645295,1.125901,1.6229012,1
2.0182354,2.194233,2.1095724,2.2
3.808544,3.8591897,4.1684613,2
2.9417956,2.3873773,1.3735381,1.2
3.5380652,4.2924495,4.4383264,4
1.336633,1.1245368,1.695584,1
4.3711944,3.7896476,4.5388837,4.2
2.562988,2.8256056,2.4313576,3.4
4.0111156,3.3327868,3.1349587,4
5.2062244,5.128369,4.917446,4.8
0.9764977,0.45292312,0.9429246,0.4
4.6015472,4.224814,4.3044906,4.4
0.96562153,1.2989693,0.3656932,0.4
0.075546846,0.17043568,0.39200306,0
3.568186,3.8250856,3.5167456,3
5.0614886,4.584848,4.518841,4.6
0.33923224,0.5050121,0.18517034,0.4
1.9126078,1.454106,1.5434046,1.4
2.907052,2.6265032,3.1075106,3
2.2513385,3.2819355,3.6437685,1.6
2.2335155,1.6549196,3.362927,2.4
-0.037404098,0.10547996,0.21207221,0
1.9732884,2.5132215,3.8771684,1.6
2.7577157,3.1761396,2.5364726,1.6
0.65174395,0.83751875,0.77435094,0.2
1.4012718,2.405999,2.5701027,2.2
1.650769,1.4915859,1.7621981,2
0.37884915,0.26785517,0.4988665,0.4
5.213027,5.2263217,4.7741876,4.8
2.3160622,2.2451572,2.1518438,2
0.16003285,0.6792816,0.9278139,0.2
5.098048,4.617908,4.656927,3.8
2.7678564,2.91129,3.1368318,2.2
2.2444637,2.7714865,3.049542,2
4.272295,4.003967,3.6920877,4
3.988638,3.9217844,3.932266,4.6
1.589542,1.3992337,0.5536258,1.4
0.6251086,0.70275074,1.245635,0.8
0.5315146,0.41716135,0.5623393,0.6
1.6319795,2.2145483,2.5361938,1.2
1.0641363,1.2173874,1.7505366,1.6
-0.014377888,0.067516625,0.18074603,0
0.102146946,0.16313775,0.36095542,0.6
2.0025942,2.539427,1.6262332,3
1.8611512,2.4769979,2.4002671,2.4
0.45844772,0.64030963,0.68299544,0.6
4.3701663,4.0884695,4.544625,4.6
1.3441983,1.1599772,1.4261992,0.6
5.029453,5.2088594,4.470256,4.8
5.063336,5.1885324,4.783788,5
0.3335999,0.29553965,0.21219563,0.2
2.772889,2.9050543,2.776885,0.6
0.8431702,0.7866835,0.8800931,0.8
3.5508673,3.3642907,2.6242757,3.6
0.40434423,0.14995475,0.5305778,0
4.6608872,4.16081,4.4804626,4.4
5.1718054,5.267419,4.8175273,4.6
2.8809085,1.6145663,0.94778097,2.8
4.658406,5.295302,4.452228,4
1.3526556,0.9522187,1.565365,1
5.113416,5.1657224,4.799251,5
0.8291981,0.65788954,1.011176,0.4
0.32160553,0.12821434,0.5308014,0.8
0.36603516,0.41747582,1.8255064,0.4
0.41242293,0.17223474,0.38818756,0
1.3449615,0.5470289,1.8009611,1.6
1.5578938,1.3690977,1.1096305,1.6
3.1779568,2.6623437,3.9471545,3.6
4.709013,5.055756,4.9083815,3
2.8156626,3.0130577,2.7631695,2.8
0.20496812,0.10627863,0.13685854,0.2
0.63032234,1.2027404,1.7522925,1
0.45577452,0.80938447,0.4779781,1.4
2.0390658,4.238471,4.104151,2.8
2.5033429,2.848246,2.232204,3
0.9146625,0.5086276,0.28273886,1.6
2.3209784,2.005397,2.2953138,2.8
3.2218912,3.8413322,3.4518046,4
0.619242,0.7958731,0.39499664,0.8
1.3803378,1.8540394,2.474258,2
3.620226,4.658879,4.6771045,4.4
4.967189,3.6414292,4.4184914,4.6
1.0898472,1.8303277,2.0486073,2.4
4.858033,4.454977,4.088211,4.4
1.3664771,1.7321851,0.9956514,0.8
4.1461253,4.009212,4.3428626,3.8
0.6010962,1.4479858,0.705781,1.4
3.5587227,3.3340518,2.0375319,2.8
2.6782603,2.8889668,2.5764546,3
1.793086,3.0655303,2.596783,1.6
1.3590211,1.3326793,1.8039855,1
3.2948384,3.3882535,2.569281,2.6
1.2905482,2.0061195,0.2863902,1.6
0.29121795,0.35790867,0.46236926,0.2
2.2491865,2.6974816,3.065381,3
2.1311476,3.9220376,4.434306,3
3.417512,3.9292252,3.76332,3.2
2.7262435,2.9995873,2.856471,3
1.3039285,1.8334212,1.7341202,0.6
1.7757015,1.6607696,2.1300907,1
1.201566,1.7726961,2.3999949,0.6
1.2924881,1.3789513,2.0120358,0.8
2.5150652,2.8195293,2.558769,2.4
1.6974189,1.9222043,2.0471315,1
2.8248255,2.4742935,2.5635395,0.2
1.9538105,2.432987,2.512682,0.6
1.9115393,1.8818933,1.8992838,3.6
0.7090898,0.95199174,0.9090625,0.2
1.8358746,1.720371,1.8136228,0.2
0.99729145,1.4065334,1.9827452,0
1.0395578,1.0405759,1.2714497,0
1.6143624,1.9090741,2.198791,1.2
1.702142,1.6399758,1.6304799,0
1.3219037,1.7918895,1.7024404,0.4
1.9982983,1.7480247,1.9052761,0.4
2.6315396,2.851827,3.3600106,3
3.3403523,3.486412,2.669921,4.4
2.171414,2.6446161,3.1669145,3.2
3.0676506,3.3559647,3.6665177,3.4
2.5566924,2.7456903,3.0797586,3.4
3.6003282,3.2179337,2.9553728,3.6
1.0114149,2.0920434,2.0145898,0.8
1.469376,2.3006773,1.6054703,0.8
1.3495872,1.9060733,1.5799888,1
2.2139742,2.3270986,2.9254148,1.6
1.5343864,1.8633265,1.7281197,1
2.241727,2.9315417,3.32961,3.2
2.9770663,3.1406806,3.3694234,2
0.65998,0.9337878,2.181623,0
1.0672386,1.8675851,2.3973277,0.6
0.44998792,1.0016081,1.0488755,0
1.349875,1.5381778,1.5736074,1.4
2.7308922,2.602652,1.8377385,2
3.0318282,2.7707634,2.934316,2.6
2.355904,2.4232743,2.2840486,4.2
1.9831146,2.5459635,2.8996148,2.8
1.8239353,2.4160244,2.5466166,0
1.6185758,2.08746,2.235702,0
2.6473649,2.9721627,2.6775837,2
0.3482669,1.0387212,1.7442869,0
1.852385,2.3953722,2.301126,2.6
2.7111325,2.943703,2.977345,2.6
0.36313695,0.5815993,1.1915382,0
